Date,SPY,QQQ,IWM,TLT,GLD,VNQ,EFA
2016-03-15,202.17,106.57,106.24,127.88,117.96,81.24,56.66
2016-03-16,203.34,107.52,106.99,128.26,120.59,82.22,57.16
2016-03-17,204.63,107.46,108.63,128.79,120.13,83.38,57.6
2016-03-18,204.38,107.31,109.61,129.06,119.8,83.02,57.5
2016-03-21,204.67,107.73,109.35,128.07,118.96,81.36,57.41
2016-03-22,204.56,108.06,109.22,128.04,119.31,81.36,57.31
2016-03-23,203.21,107.17,106.88,129.49,116.61,80.92,56.73
2016-03-24,203.12,107.2,107.2,129.54,116.33,80.95,56.35
2016-03-28,203.24,107.05,107.33,129.71,116.6,81.68,56.69
2016-03-29,205.12,108.77,110.31,131.07,118.76,83.45,57.3
2016-03-30,206.02,109.3,110.32,129.69,117.1,83.29,57.73
2016-03-31,205.52,109.14,110.63,130.61,117.64,83.8,57.16
2016-04-01,206.92,110.3,111.12,130.68,116.93,83.69,56.55
2016-04-04,206.25,109.88,110.19,130.76,116.15,83.57,56.43
2016-04-05,204.19,108.82,108.94,132.19,117.66,83.02,55.32
2016-04-06,206.42,110.61,110.17,131.23,116.94,83.22,56.22
2016-04-07,203.95,109.02,108.68,132.85,118.61,82.7,55.4
2016-04-08,204.5,108.94,109.11,132.01,118.43,83.16,56.46
2016-04-11,204.02,108.54,108.77,131.84,120.03,82.99,56.49
2016-04-12,205.92,109.45,109.94,130.93,120.05,83.59,57.33
2016-04-13,208.0,110.85,112.31,131.39,118.77,83.22,58.24
2016-04-14,208.01,110.86,112.17,130.76,117.11,82.76,58.43
2016-04-15,207.78,110.58,112.45,131.88,117.92,83.38,58.3
2016-04-18,209.24,111.17,113.3,131.31,117.74,83.78,58.8
2016-04-19,209.9,110.49,113.39,130.9,119.58,83.82,59.82
2016-04-20,210.1,110.58,113.56,129.46,118.97,82.4,59.87
2016-04-21,208.97,110.59,112.99,128.69,119.42,80.93,59.51
2016-04-22,208.97,108.92,114.11,128.36,117.89,81.77,59.54
2016-04-25,208.61,108.92,113.3,127.83,118.23,82.49,59.24
2016-04-26,208.92,108.39,114.41,127.25,118.7,82.81,59.45
2016-04-27,209.35,107.52,114.81,128.52,119.04,82.76,59.49
2016-04-28,207.45,106.22,113.5,129.05,121.29,82.59,58.68
2016-04-29,206.33,105.66,112.48,129.38,123.65,81.83,58.43
2016-05-02,207.97,106.66,113.48,127.82,123.24,83.1,58.98
2016-05-03,206.16,105.67,111.62,129.43,122.96,83.23,58.01
2016-05-04,205.01,104.99,110.7,130.14,122.21,84.42,57.34
2016-05-05,204.97,104.96,110.26,131.01,122.07,84.66,57.22
2016-05-06,205.72,105.52,110.91,130.45,123.18,85.59,57.38
2016-05-09,205.89,105.82,111.23,130.86,120.65,86.53,57.26
2016-05-10,208.45,107.27,112.35,130.87,120.98,86.52,58.08
2016-05-11,206.5,106.3,110.96,131.61,122.12,84.67,57.58
2016-05-12,206.56,105.83,110.37,131.01,121.16,85.16,57.56
2016-05-13,204.76,105.44,109.64,132.28,121.71,84.4,56.97
2016-05-16,206.78,106.76,111.03,131.14,121.8,85.2,57.65
2016-05-17,204.85,105.42,109.27,131.36,122.22,83.62,57.23
2016-05-18,204.91,105.8,109.84,129.49,120.1,82.31,57.25
2016-05-19,204.2,105.25,108.95,130.05,119.87,81.39,56.84
2016-05-20,205.49,106.41,110.79,130.15,119.71,82.04,57.31
2016-05-23,205.21,106.27,110.66,130.44,119.37,82.05,57.12
2016-05-24,207.87,108.4,112.94,129.86,117.3,83.07,57.95
2016-05-25,209.28,109.18,113.6,129.37,116.98,83.07,58.56
2016-05-26,209.34,109.5,113.47,130.04,116.58,83.23,58.72
2016-05-27,210.24,110.07,114.6,129.85,115.62,83.68,58.66
2016-05-31,209.84,110.28,115.0,130.16,116.06,83.67,58.38
2016-06-01,210.27,110.29,115.78,130.42,115.94,83.74,58.33
2016-06-02,210.91,110.52,116.67,131.36,115.67,84.17,58.33
2016-06-03,210.28,110.0,115.97,133.23,118.88,84.51,58.71
2016-06-06,211.35,110.4,117.22,132.24,118.92,83.86,59.04
2016-06-07,211.68,110.12,117.56,132.56,118.82,84.37,59.47
2016-06-08,212.37,110.31,118.43,133.27,120.58,84.91,59.59
2016-06-09,212.08,110.13,117.67,134.13,121.25,85.1,58.86
2016-06-10,210.07,108.88,116.07,134.78,121.74,84.7,57.15
2016-06-13,208.45,107.97,114.81,135.38,122.64,84.72,56.32
2016-06-14,208.04,107.97,114.48,135.28,122.77,84.5,55.42
2016-06-15,207.75,107.66,114.56,135.8,123.68,85.3,55.79
2016-06-16,208.37,107.98,114.55,136.46,122.38,85.78,55.91
2016-06-17,206.52,106.43,114.06,135.61,123.95,85.64,56.46
2016-06-20,207.85,107.1,115.3,134.16,123.21,85.76,57.86
2016-06-21,208.44,107.44,115.08,133.54,120.84,85.32,58.33
2016-06-22,208.1,107.18,114.63,133.76,120.9,85.19,57.12
2016-06-23,210.81,108.71,116.82,132.23,120.11,85.62,58.7
2016-06-24,203.13,104.24,112.55,135.78,126.01,84.87,53.66
2016-06-27,199.6,102.17,108.69,139.17,126.68,84.92,52.63
2016-06-28,203.2,104.41,110.37,139.46,125.32,86.71,54.01
2016-06-29,206.66,106.25,112.88,138.39,125.84,87.76,55.0
2016-06-30,209.47,107.48,114.98,138.9,126.47,88.67,55.82
2016-07-01,209.92,108.02,115.39,140.57,128.41,88.7,55.82
2016-07-05,208.41,107.36,113.69,142.33,129.47,89.68,54.74
2016-07-06,209.66,108.24,113.89,142.56,130.23,89.29,54.64
2016-07-07,209.53,108.56,114.13,142.55,129.74,88.37,54.42
2016-07-08,212.65,110.24,116.79,143.6,130.52,89.8,55.25
2016-07-11,213.4,110.87,118.14,142.34,129.29,90.4,56.06
2016-07-12,214.95,111.43,119.72,140.0,127.15,90.39,56.82
2016-07-13,214.92,111.16,119.25,141.65,128.32,90.89,56.76
2016-07-14,216.12,111.92,119.37,139.59,127.33,90.08,57.25
2016-07-15,215.83,111.74,119.7,138.39,126.84,90.11,56.96
2016-07-18,216.41,112.48,119.9,138.26,127.04,90.35,57.1
2016-07-19,216.19,112.07,119.3,139.04,127.21,90.79,56.65
2016-07-20,217.09,113.38,120.08,138.28,125.39,90.8,57.16
2016-07-21,216.26,113.12,119.51,138.56,127.3,90.98,56.93
2016-07-22,217.24,113.59,120.4,138.8,126.35,91.78,57.04
2016-07-25,216.65,113.6,120.22,138.7,125.47,91.61,56.97
2016-07-26,216.75,113.73,120.8,138.92,126.0,91.16,57.21
2016-07-27,216.52,114.52,121.14,140.65,128.03,90.45,57.42
